,id,scrape_id,host_id,host_since,host_is_superhost,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
2,1264833485512910590,20241200000000.0,255319514,2019-12-04,f,46.0,46.0,"['email', 'phone']",t,t,Ryde,,-33.8107895,151.1024049,1,1.5,1.0,1.0,$55.00,1,89,1,3,89,89,2.9,89.0,,t,24,39,69,344,08/12/24,1,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,46,4,42,0,0.77
3,1264834761942196027,20241200000000.0,255319514,2019-12-04,f,46.0,46.0,"['email', 'phone']",t,t,Ryde,,-33.8107895,151.1024049,1,1.5,1.0,1.0,$55.00,1,89,1,3,89,89,2.9,89.0,,t,27,57,87,362,08/12/24,2,2,2,4.0,4.5,4.0,4.5,4.5,4.5,4.5,t,46,4,42,0,2.0
7,1264833072124874515,20241200000000.0,255319514,2019-12-04,f,46.0,46.0,"['email', 'phone']",t,t,Ryde,,-33.8107895,151.1024049,2,1.5,1.0,1.0,$68.00,1,89,1,3,89,89,2.9,89.0,,t,27,57,87,362,08/12/24,1,1,1,2.0,2.0,3.0,3.0,2.0,3.0,2.0,t,46,4,42,0,1.0
8,1264833912346643713,20241200000000.0,255319514,2019-12-04,f,46.0,46.0,"['email', 'phone']",t,t,Ryde,,-33.8107895,151.1024049,2,1.5,1.0,1.0,$71.00,1,89,1,3,89,89,2.9,89.0,,t,18,48,78,353,08/12/24,2,2,0,3.0,2.0,3.0,3.5,4.0,4.5,2.5,t,46,4,42,0,1.46
9,1264834326982127752,20241200000000.0,255319514,2019-12-04,f,46.0,46.0,"['email', 'phone']",t,t,Ryde,,-33.8107895,151.1024049,1,1.5,1.0,1.0,$55.00,1,89,1,3,89,89,2.9,89.0,,t,18,18,39,314,08/12/24,1,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,46,4,42,0,0.65
11,14250,20241200000000.0,55948,2009-11-20,t,2.0,2.0,"['email', 'phone']",t,t,Manly,,-33.7997,151.263,6,3.0,3.0,3.0,$600.00,14,30,12,14,30,30,13.9,30.0,,t,0,12,12,79,08/12/24,3,0,0,4.67,4.33,4.33,4.67,4.33,4.67,4.33,f,2,2,0,0,0.03
19,68999,20241200000000.0,333581,2011-03-01,t,1.0,3.0,"['email', 'phone', 'work_email']",t,t,Hornsby,,-33.72966,151.05226,4,2.5,2.0,3.0,$115.00,1,30,1,1,30,30,1.0,30.0,,t,17,47,77,352,08/12/24,110,11,1,4.96,4.96,4.99,4.99,4.99,4.86,4.93,f,1,0,1,0,0.67
26,105938,20241200000000.0,549372,2011-01-05,f,1.0,1.0,"['email', 'phone']",t,t,Pittwater,,-33.64823,151.31711,4,2.0,2.0,3.0,$361.00,14,35,14,14,35,35,14.0,35.0,,t,8,34,64,244,08/12/24,21,1,0,5.0,4.85,4.92,5.0,5.0,4.92,4.92,f,1,1,0,0,0.21
28,1014544,20241200000000.0,1817516,2012-02-27,f,2.0,2.0,"['email', 'phone', 'work_email']",t,t,Sydney,,-33.88243,151.21281,2,1.5,1.0,1.0,$96.00,90,1125,90,90,1125,1125,90.0,1125.0,,t,0,0,7,98,08/12/24,85,0,0,4.78,4.83,4.81,4.95,4.93,4.88,4.78,f,2,1,1,0,0.63
29,1018623,20241200000000.0,3775524,2012-06-10,t,3.0,3.0,"['email', 'phone']",t,t,Sydney,,-33.87698447,151.22802791045012,4,2.0,2.0,2.0,$426.00,7,90,7,7,90,90,7.0,90.0,,t,21,51,81,356,08/12/24,61,3,0,4.8,4.88,4.6,4.9,4.92,4.83,4.62,f,1,1,0,0,0.44
