,id,scrape_id,host_id,host_since,host_is_superhost,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
0,1208229396139150589,20241200000000.0,279001183,2019-07-24,f,842.0,921.0,"['email', 'phone', 'work_email']",t,t,Manly,,-33.80061,151.28829,5,1.0,2.0,3.0,$379.00,3,365,2,21,365,365,13.9,365.0,,t,3,3,3,3,08/12/24,11,11,4,4.64,4.91,5.0,4.91,4.73,4.73,4.55,t,194,194,0,0,4.23
2,1264833485512910590,20241200000000.0,255319514,2019-12-04,f,46.0,46.0,"['email', 'phone']",t,t,Ryde,,-33.8107895,151.1024049,1,1.5,1.0,1.0,$55.00,1,89,1,3,89,89,2.9,89.0,,t,24,39,69,344,08/12/24,1,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,46,4,42,0,0.77
3,1264834761942196027,20241200000000.0,255319514,2019-12-04,f,46.0,46.0,"['email', 'phone']",t,t,Ryde,,-33.8107895,151.1024049,1,1.5,1.0,1.0,$55.00,1,89,1,3,89,89,2.9,89.0,,t,27,57,87,362,08/12/24,2,2,2,4.0,4.5,4.0,4.5,4.5,4.5,4.5,t,46,4,42,0,2.0
5,934398,20241200000000.0,5040528,2013-10-02,f,1.0,4.0,"['email', 'phone']",t,t,Sydney,,-33.87627,151.22576,2,1.0,1.0,1.0,$136.00,3,1125,2,3,365,365,3.0,365.0,,t,0,0,0,0,08/12/24,7,0,0,4.86,5.0,4.86,5.0,5.0,5.0,4.86,t,1,0,1,0,0.1
7,1264833072124874515,20241200000000.0,255319514,2019-12-04,f,46.0,46.0,"['email', 'phone']",t,t,Ryde,,-33.8107895,151.1024049,2,1.5,1.0,1.0,$68.00,1,89,1,3,89,89,2.9,89.0,,t,27,57,87,362,08/12/24,1,1,1,2.0,2.0,3.0,3.0,2.0,3.0,2.0,t,46,4,42,0,1.0
8,1264833912346643713,20241200000000.0,255319514,2019-12-04,f,46.0,46.0,"['email', 'phone']",t,t,Ryde,,-33.8107895,151.1024049,2,1.5,1.0,1.0,$71.00,1,89,1,3,89,89,2.9,89.0,,t,18,48,78,353,08/12/24,2,2,0,3.0,2.0,3.0,3.5,4.0,4.5,2.5,t,46,4,42,0,1.46
9,1264834326982127752,20241200000000.0,255319514,2019-12-04,f,46.0,46.0,"['email', 'phone']",t,t,Ryde,,-33.8107895,151.1024049,1,1.5,1.0,1.0,$55.00,1,89,1,3,89,89,2.9,89.0,,t,18,18,39,314,08/12/24,1,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,46,4,42,0,0.65
12,15253,20241200000000.0,59850,2009-03-12,t,1.0,6.0,"['email', 'phone']",t,t,Sydney,,-33.87964,151.2168,2,1.0,1.0,1.0,$120.00,1,90,1,1,1125,1125,1.0,1125.0,,t,6,12,19,275,08/12/24,598,64,5,4.55,4.65,4.51,4.81,4.76,4.76,4.56,t,1,0,1,0,3.84
23,86853,20241200000000.0,476047,2011-03-31,f,2.0,2.0,"['email', 'phone']",t,t,Waverley,,-33.894576,151.266382,4,1.0,2.0,2.0,$287.00,2,730,2,2,1125,1125,2.0,1125.0,,t,9,9,35,293,08/12/24,176,8,0,4.67,4.75,4.74,4.81,4.82,4.77,4.56,t,2,2,0,0,1.19
62,366856,20241200000000.0,1852102,2012-03-03,f,3.0,3.0,"['email', 'phone', 'work_email']",t,t,Waverley,,-33.89397,151.26371,2,1.0,1.0,1.0,$253.00,2,1125,1,2,1125,1125,1.4,1125.0,,t,11,11,30,279,08/12/24,186,17,0,4.51,4.53,4.7,4.89,4.83,4.74,4.39,t,3,3,0,0,1.23
