,id,scrape_id,host_id,host_since,host_is_superhost,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
0,1208229396139150589,20241200000000.0,279001183,2019-07-24,f,842.0,921.0,"['email', 'phone', 'work_email']",t,t,Manly,,-33.80061,151.28829,5,1.0,2.0,3.0,$379.00,3,365,2,21,365,365,13.9,365.0,,t,3,3,3,3,08/12/24,11,11,4,4.64,4.91,5.0,4.91,4.73,4.73,4.55,t,194,194,0,0,4.23
1,1226551214174044599,20241200000000.0,24295514,2014-11-29,f,2.0,6.0,"['email', 'phone']",t,t,Manly,,-33.78711391,151.28616101223182,2,1.0,1.0,1.0,$170.00,1,365,1,1,365,365,1.0,365.0,,t,3,21,39,295,08/12/24,20,20,5,4.75,4.7,4.5,4.95,4.85,5.0,4.8,f,2,0,2,0,6.06
2,1264833485512910590,20241200000000.0,255319514,2019-12-04,f,46.0,46.0,"['email', 'phone']",t,t,Ryde,,-33.8107895,151.1024049,1,1.5,1.0,1.0,$55.00,1,89,1,3,89,89,2.9,89.0,,t,24,39,69,344,08/12/24,1,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,46,4,42,0,0.77
3,1264834761942196027,20241200000000.0,255319514,2019-12-04,f,46.0,46.0,"['email', 'phone']",t,t,Ryde,,-33.8107895,151.1024049,1,1.5,1.0,1.0,$55.00,1,89,1,3,89,89,2.9,89.0,,t,27,57,87,362,08/12/24,2,2,2,4.0,4.5,4.0,4.5,4.5,4.5,4.5,t,46,4,42,0,2.0
4,929853,20241200000000.0,5007351,2013-07-02,f,1.0,1.0,"['email', 'phone']",t,t,Woollahra,,-33.88912,151.25643,4,1.0,2.0,2.0,$309.00,90,365,90,90,365,365,90.0,365.0,,t,30,60,90,365,08/12/24,6,0,0,4.33,4.33,4.17,5.0,4.5,4.83,4.17,f,1,1,0,0,0.04
5,934398,20241200000000.0,5040528,2013-10-02,f,1.0,4.0,"['email', 'phone']",t,t,Sydney,,-33.87627,151.22576,2,1.0,1.0,1.0,$136.00,3,1125,2,3,365,365,3.0,365.0,,t,0,0,0,0,08/12/24,7,0,0,4.86,5.0,4.86,5.0,5.0,5.0,4.86,t,1,0,1,0,0.1
6,1241437067358738631,20241200000000.0,78189334,2016-06-16,f,1.0,2.0,"['email', 'phone']",t,t,Manly,,-33.79446,151.26778,4,1.0,2.0,4.0,$345.00,2,365,2,2,365,365,2.0,365.0,,t,0,0,0,242,08/12/24,0,0,0,,,,,,,,f,1,1,0,0,
7,1264833072124874515,20241200000000.0,255319514,2019-12-04,f,46.0,46.0,"['email', 'phone']",t,t,Ryde,,-33.8107895,151.1024049,2,1.5,1.0,1.0,$68.00,1,89,1,3,89,89,2.9,89.0,,t,27,57,87,362,08/12/24,1,1,1,2.0,2.0,3.0,3.0,2.0,3.0,2.0,t,46,4,42,0,1.0
8,1264833912346643713,20241200000000.0,255319514,2019-12-04,f,46.0,46.0,"['email', 'phone']",t,t,Ryde,,-33.8107895,151.1024049,2,1.5,1.0,1.0,$71.00,1,89,1,3,89,89,2.9,89.0,,t,18,48,78,353,08/12/24,2,2,0,3.0,2.0,3.0,3.5,4.0,4.5,2.5,t,46,4,42,0,1.46
9,1264834326982127752,20241200000000.0,255319514,2019-12-04,f,46.0,46.0,"['email', 'phone']",t,t,Ryde,,-33.8107895,151.1024049,1,1.5,1.0,1.0,$55.00,1,89,1,3,89,89,2.9,89.0,,t,18,18,39,314,08/12/24,1,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,46,4,42,0,0.65
10,11156,20241200000000.0,40855,2009-09-23,f,1.0,1.0,"['email', 'phone']",t,f,Sydney,,-33.86767,151.22497,1,1.0,1.0,1.0,$65.00,90,180,90,90,180,180,90.0,180.0,,t,29,59,89,364,08/12/24,193,0,0,4.59,4.76,4.3,4.8,4.76,4.82,4.71,f,1,0,1,0,1.06
11,14250,20241200000000.0,55948,2009-11-20,t,2.0,2.0,"['email', 'phone']",t,t,Manly,,-33.7997,151.263,6,3.0,3.0,3.0,$600.00,14,30,12,14,30,30,13.9,30.0,,t,0,12,12,79,08/12/24,3,0,0,4.67,4.33,4.33,4.67,4.33,4.67,4.33,f,2,2,0,0,0.03
12,15253,20241200000000.0,59850,2009-03-12,t,1.0,6.0,"['email', 'phone']",t,t,Sydney,,-33.87964,151.2168,2,1.0,1.0,1.0,$120.00,1,90,1,1,1125,1125,1.0,1125.0,,t,6,12,19,275,08/12/24,598,64,5,4.55,4.65,4.51,4.81,4.76,4.76,4.56,t,1,0,1,0,3.84
13,58506,20241200000000.0,279955,2010-06-11,t,1.0,3.0,"['email', 'phone']",t,t,Mosman,,-33.81748,151.23484,4,1.0,1.0,3.0,$190.00,2,90,2,2,90,90,2.0,90.0,,t,1,10,14,256,08/12/24,425,27,0,4.62,4.71,4.34,4.89,4.92,4.76,4.72,f,1,1,0,0,2.5
14,934543,20241200000000.0,5041727,2013-10-02,t,2.0,2.0,"['email', 'phone']",t,t,Manly,,-33.79261,151.27953,4,1.0,2.0,3.0,$200.00,3,21,3,3,21,21,3.0,21.0,,t,0,13,27,28,08/12/24,90,13,2,4.94,4.87,4.98,4.97,4.97,4.86,4.87,f,2,1,1,0,0.75
15,941603,20241200000000.0,5091457,2013-02-15,t,1.0,1.0,"['email', 'phone']",t,t,Ryde,,-33.82926,151.10707,3,1.0,2.0,2.0,$185.00,2,1125,2,2,1125,1125,2.0,1125.0,,t,1,3,3,7,08/12/24,140,23,5,4.95,4.96,4.89,4.96,4.97,4.95,4.91,f,1,1,0,0,0.98
16,944360,20241200000000.0,5112319,2013-02-16,f,1.0,1.0,"['email', 'phone']",t,t,Sydney,,-33.89266968,151.21517944335938,2,1.0,1.0,1.0,$240.00,3,90,1,3,1125,1125,3.0,1125.0,,t,8,8,8,223,08/12/24,164,16,1,4.92,4.94,4.92,4.97,4.98,4.87,4.83,f,1,1,0,0,1.14
17,948716,20241200000000.0,4915883,2013-01-31,f,2.0,2.0,"['email', 'phone']",t,t,Manly,,-33.79646683,151.28732299804688,2,1.0,1.0,1.0,$275.00,60,180,22,60,180,180,57.9,180.0,,t,0,29,59,334,08/12/24,5,1,0,4.8,4.8,4.6,4.8,5.0,5.0,4.4,f,2,2,0,0,0.05
18,949950,20241200000000.0,2311627,2012-07-05,t,1.0,1.0,"['email', 'phone']",t,t,Sydney,,-33.87629,151.22771,2,1.0,1.0,1.0,$202.00,3,1125,3,3,1125,1125,3.0,1125.0,,t,12,12,18,109,08/12/24,28,4,1,4.68,4.68,4.68,4.78,4.75,4.78,4.52,f,1,1,0,0,0.2
