,id,scrape_id,host_id,host_since,host_is_superhost,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
0,1208229396139150589,20241200000000.0,279001183,24/07/19,f,842.0,921.0,"['email', 'phone', 'work_email']",t,t,Manly,,-33.80061,151.28829,5,1.0,2.0,3.0,$379.00,3,365,2,21,365,365,13.9,365.0,,t,3,3,3,3,08/12/24,11,11,4,4.64,4.91,5.0,4.91,4.73,4.73,4.55,t,194,194,0,0,4.23
200,1857470,20241200000000.0,516506,17/04/11,f,1.0,1.0,"['email', 'phone']",t,t,Manly,,-33.79391,151.2759,6,1.0,3.0,4.0,$329.00,90,365,90,90,365,365,90.0,365.0,,t,0,0,0,160,08/12/24,20,0,0,4.58,4.67,4.83,4.83,4.78,4.67,4.39,f,1,1,0,0,0.15
400,4033572,20241200000000.0,17802336,08/07/14,f,1.0,2.0,"['email', 'phone']",t,t,North Sydney,,-33.83772,151.21699,1,0.0,1.0,1.0,$120.00,90,1125,90,90,1125,1125,90.0,1125.0,,t,30,60,90,365,08/12/24,4,0,0,5.0,5.0,4.75,5.0,5.0,4.75,4.5,f,1,0,1,0,0.03
600,5751283,20241200000000.0,29837638,23/03/15,f,1.0,1.0,"['email', 'phone', 'work_email']",t,t,Sydney,,-33.85833,151.20559,6,2.5,3.0,4.0,$609.00,3,1125,1,3,1125,1125,3.0,1125.0,,t,16,37,37,37,08/12/24,238,0,0,4.76,4.75,4.61,4.91,4.97,4.96,4.57,t,1,1,0,0,2.03
800,9067259,20241200000000.0,47294623,24/10/15,f,1.0,3.0,"['email', 'phone']",t,t,Randwick,,-33.91745,151.24429,1,1.0,1.0,1.0,$51.00,3,1125,2,3,1125,1125,2.9,1125.0,,t,9,33,33,33,08/12/24,20,3,0,4.75,4.85,4.65,4.7,5.0,4.95,4.7,f,1,0,1,0,0.2
1000,10949144,20241200000000.0,45356464,29/09/15,f,1.0,1.0,"['email', 'phone']",t,t,North Sydney,,-33.83595,151.21778,2,1.0,1.0,1.0,$68.00,90,1125,90,90,1125,1125,90.0,1125.0,,t,0,5,5,9,08/12/24,112,1,0,4.85,4.93,4.71,4.95,4.99,4.81,4.87,f,1,1,0,0,1.05
1200,12200274,20241200000000.0,65566471,03/04/16,t,1.0,1.0,"['email', 'phone', 'work_email']",t,t,Sydney,,-33.88369,151.1842,2,1.0,1.0,2.0,$220.00,2,1125,1,2,1125,1125,2.0,1125.0,,t,1,27,33,187,08/12/24,165,24,0,4.84,4.9,4.92,4.92,4.95,4.88,4.75,f,1,1,0,0,1.57
1400,14660659,20241200000000.0,3600837,18/09/12,f,2.0,2.0,"['email', 'phone']",t,t,Sutherland Shire,,-34.04228,151.06819,2,1.0,1.0,1.0,$150.00,90,1124,90,90,1124,1124,90.0,1124.0,,t,0,5,35,310,08/12/24,90,0,0,4.98,4.99,4.93,4.99,4.98,4.93,4.92,f,2,2,0,0,0.9
1600,16179032,20241200000000.0,24351155,01/12/14,t,1.0,2.0,"['email', 'phone']",t,t,Randwick,,-33.93897,151.24736,9,3.5,4.0,6.0,$569.00,5,60,3,5,1125,1125,5.0,1125.0,,t,1,14,27,28,08/12/24,115,6,0,4.97,4.97,4.9,4.99,4.99,4.83,4.84,f,1,1,0,0,1.23
1800,17684739,20241200000000.0,24721535,11/12/14,f,76.0,101.0,"['email', 'phone', 'work_email']",t,t,Pittwater,,-33.59963,151.31891,4,1.0,1.0,1.0,$312.00,2,1125,2,5,2,1125,2.2,36.2,,t,14,35,57,229,08/12/24,5,1,0,4.4,4.6,4.8,4.8,4.6,4.8,4.4,t,70,70,0,0,0.08
2000,19849928,20241200000000.0,60445668,26/02/16,f,3.0,5.0,"['email', 'phone']",t,t,Randwick,,-33.94115,151.25514,5,2.0,2.0,3.0,$380.00,3,1125,3,6,1125,1125,3.1,1125.0,,t,6,6,16,34,08/12/24,67,2,0,4.76,4.6,4.79,4.99,4.94,4.94,4.64,f,3,3,0,0,0.8
2200,21583402,20241200000000.0,156969145,01/11/17,f,1.0,1.0,['phone'],t,f,Hurstville,,-33.96644,151.10447,2,2.0,3.0,3.0,$60.00,90,1125,90,90,1125,1125,90.0,1125.0,,t,23,53,83,358,08/12/24,0,0,0,,,,,,,,t,1,0,1,0,
