,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms
0,194,0
1,0,2
2,4,42
3,4,42
4,1,0
5,0,1
6,1,0
7,4,42
8,4,42
9,4,42
10,0,1
11,2,0
12,0,1
13,1,0
14,1,1
15,1,0
16,1,0
17,2,0
18,1,0
19,0,1
20,5,0
21,5,0
22,1,0
23,2,0
24,0,1
25,3,0
26,1,0
27,0,1
28,1,1
29,1,0
30,1,0
31,1,0
32,70,0
33,0,3
34,0,1
35,1,0
36,1,0
37,1,1
38,3,0
39,1,0
40,2,0
41,1,1
42,1,0
43,1,0
44,5,0
45,1,0
46,0,1
47,0,2
48,1,0
49,2,0
50,0,2
51,1,0
52,1,0
53,1,0
54,0,2
55,1,0
56,1,0
57,47,0
58,1,0
59,0,1
60,1,0
61,1,0
62,3,0
63,3,0
64,1,0
65,1,0
66,1,0
67,1,0
68,1,0
69,1,1
70,15,0
71,1,0
72,0,1
73,0,2
74,1,0
75,1,0
76,1,0
77,1,0
78,2,0
79,47,0
80,1,0
81,2,0
82,0,1
83,0,1
84,0,1
85,1,0
86,1,0
87,1,0
88,1,0
89,1,0
90,1,0
91,1,1
92,1,0
93,1,0
94,1,0
95,0,2
96,1,0
97,1,0
98,1,0
99,1,0
100,1,1
101,1,0
102,1,0
103,0,1
104,1,0
105,7,0
106,1,0
107,1,0
108,65,0
109,5,0
110,0,1
111,65,0
112,1,0
113,1,0
114,1,0
115,3,0
116,1,0
117,2,0
118,1,0
119,2,0
120,0,5
121,1,0
122,1,0
123,1,0
124,0,5
125,0,5
126,1,1
127,1,1
128,1,0
129,1,0
130,1,0
131,1,0
132,1,0
133,2,0
134,65,0
135,2,0
136,4,0
137,1,0
138,0,1
139,0,2
140,9,0
141,9,0
142,4,0
143,0,1
144,3,0
145,1,0
146,1,0
147,3,0
148,1,0
149,5,0
150,1,0
151,0,1
152,1,0
153,1,0
154,1,0
155,1,1
156,0,1
157,1,0
158,1,0
159,1,0
160,1,0
161,1,0
162,0,1
163,1,0
164,3,0
165,1,0
166,9,0
167,1,0
168,2,0
169,1,0
170,0,1
171,1,0
172,1,0
173,1,0
174,1,0
175,1,0
176,1,0
177,1,0
178,2,0
179,1,0
180,2,0
181,0,1
182,0,1
183,0,1
184,1,0
185,1,0
186,3,0
187,1,0
188,1,0
189,1,0
190,1,0
191,1,0
192,0,1
193,1,0
194,1,0
195,1,0
196,2,0
197,4,0
198,1,4
199,3,0
200,1,0
201,1,0
202,1,0
203,2,0
204,0,2
205,1,0
206,1,0
207,4,0
208,1,0
209,2,0
210,1,0
211,1,0
212,1,0
213,1,1
214,5,0
215,5,0
216,5,0
217,1,0
218,1,0
219,1,0
220,1,0
221,1,0
222,1,0
223,1,0
224,1,0
225,2,0
226,0,1
227,1,0
228,1,0
229,1,0
230,1,0
231,1,0
232,1,0
233,4,0
234,1,0
235,1,0
236,1,0
237,1,0
238,1,0
239,55,0
240,1,0
241,1,0
242,1,0
243,5,0
244,1,0
245,1,0
246,1,1
247,1,0
248,1,0
249,1,0
250,9,0
251,1,0
252,1,0
253,1,0
254,1,0
255,0,1
256,1,1
257,1,0
258,1,0
259,1,0
260,59,0
261,1,0
262,5,0
263,1,1
264,1,0
265,2,0
266,1,0
267,1,0
268,1,0
269,1,0
270,1,0
271,54,0
272,1,0
273,1,0
274,1,1
275,1,0
276,1,0
277,1,0
278,1,0
279,1,0
280,1,0
281,1,0
282,0,1
283,1,0
284,1,0
285,1,1
286,1,0
287,0,5
288,1,0
289,1,0
290,1,0
291,0,1
292,1,0
293,1,4
294,1,0
295,1,0
296,1,0
297,1,0
298,40,0
299,1,0
300,1,0
301,1,0
302,0,1
303,1,0
304,47,0
305,59,0
306,1,0
307,1,0
308,59,0
309,1,0
310,59,0
311,59,0
312,0,3
313,1,0
314,1,0
315,0,1
316,0,1
317,1,0
318,1,0
319,1,0
320,3,0
321,65,0
322,1,0
323,6,0
324,7,0
325,0,1
326,2,0
327,0,1
328,3,0
329,0,1
330,2,0
331,1,0
332,2,0
333,0,1
334,0,1
335,0,1
336,1,0
337,1,0
338,1,0
339,1,0
340,1,0
341,0,2
342,3,0
343,1,0
344,2,0
345,4,0
346,5,0
347,1,0
348,0,1
349,2,0
350,0,2
351,0,2
352,1,0
353,1,0
354,1,0
355,6,0
356,1,0
357,2,0
358,1,0
359,2,0
360,0,3
361,1,0
362,0,1
363,1,0
364,3,1
365,1,0
366,1,0
367,1,0
368,1,0
369,0,4
370,5,0
371,1,0
372,1,0
373,1,0
374,0,1
375,2,0
376,1,0
377,1,0
378,3,0
379,1,0
380,2,0
381,1,0
382,1,0
383,1,0
384,1,0
385,1,0
386,5,0
387,1,0
388,2,0
389,2,0
390,1,0
391,2,0
392,2,0
393,1,0
394,1,0
395,3,0
396,1,1
397,1,0
398,3,0
399,5,0
400,0,1
401,1,0
402,65,0
403,1,0
404,1,0
405,3,0
406,1,0
407,2,0
408,1,0
409,0,5
410,1,0
411,1,0
412,1,0
413,1,0
414,1,0
415,1,0
416,1,0
417,1,0
418,9,0
419,1,0
420,3,0
421,1,0
422,1,0
423,1,0
424,1,0
425,2,0
426,1,0
427,1,0
428,3,0
429,0,1
430,1,0
431,1,0
432,0,1
433,1,0
434,40,0
435,1,0
436,1,0
437,1,0
438,1,0
439,1,0
440,0,3
441,1,0
442,3,0
443,1,0
444,6,0
445,0,1
446,1,1
447,1,1
448,1,0
449,1,0
450,0,1
451,1,0
452,3,0
453,1,0
454,2,0
455,0,1
456,1,0
457,47,0
458,2,0
459,1,0
460,1,0
461,1,0
462,47,0
463,0,1
464,0,1
465,2,0
466,1,0
467,1,0
468,1,0
469,1,0
470,0,1
471,1,0
472,59,0
473,3,0
474,1,0
475,1,0
476,1,0
477,1,0
478,1,0
479,1,0
480,0,3
481,1,0
482,59,0
483,3,0
484,1,0
485,1,0
486,1,0
487,1,0
488,2,0
489,1,0
490,2,0
491,1,0
492,2,0
493,1,0
494,3,0
495,1,0
496,1,0
497,179,0
498,1,0
499,1,0
500,2,0
501,1,0
502,1,0
503,9,0
504,2,0
505,0,1
506,1,0
507,1,0
508,0,1
509,0,5
510,0,5
511,1,0
512,2,0
513,1,0
514,1,0
515,0,1
516,0,1
517,1,0
518,1,0
519,3,0
520,55,0
521,0,5
522,0,6
523,1,0
524,2,0
525,1,0
526,3,0
527,2,0
528,5,0
529,0,1
530,1,0
531,1,0
532,3,0
533,1,0
534,0,1
535,1,0
536,0,1
537,1,0
538,0,1
539,1,0
540,1,0
541,59,0
542,1,0
543,0,2
544,5,0
545,4,0
546,0,1
547,0,1
548,1,0
549,1,0
550,6,0
551,2,0
552,1,0
553,1,0
554,1,0
555,0,1
556,1,0
557,2,0
558,0,1
559,1,1
560,1,0
561,59,0
562,1,0
563,0,1
564,5,0
565,1,0
566,1,0
567,1,0
568,1,0
569,1,0
570,0,1
571,1,15
572,1,0
573,1,0
574,0,1
575,1,0
576,1,0
577,5,0
578,1,0
579,1,1
580,1,1
581,1,0
582,1,0
583,6,0
584,6,0
585,1,0
586,3,0
587,1,0
588,1,0
589,9,0
590,5,0
591,3,3
592,3,3
593,2,0
594,1,0
595,0,1
596,1,0
597,1,0
598,0,6
599,1,1
600,1,0
601,0,1
602,1,0
603,1,0
604,1,0
605,11,8
606,2,0
607,11,8
608,11,8
609,11,8
610,11,8
611,0,1
612,3,0
613,65,0
614,1,1
615,4,2
616,0,1
617,3,0
618,1,0
619,1,0
620,0,6
621,0,6
622,0,6
623,1,0
624,0,1
625,1,0
626,1,0
627,0,1
628,2,0
629,0,1
630,1,0
631,4,4
632,4,4
633,1,0
