,id,scrape_id,host_id,host_since,host_is_superhost,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
11,14250,20241200000000.0,55948,20/11/09,t,2.0,2.0,"['email', 'phone']",t,t,Manly,,-33.7997,151.263,6,3.0,3.0,3.0,$600.00,14,30,12,14,30,30,13.9,30.0,,t,0,12,12,79,08/12/24,3,0,0,4.67,4.33,4.33,4.67,4.33,4.67,4.33,f,2,2,0,0,0.03
12,15253,20241200000000.0,59850,03/12/09,t,1.0,6.0,"['email', 'phone']",t,t,Sydney,,-33.87964,151.2168,2,1.0,1.0,1.0,$120.00,1,90,1,1,1125,1125,1.0,1125.0,,t,6,12,19,275,08/12/24,598,64,5,4.55,4.65,4.51,4.81,4.76,4.76,4.56,t,1,0,1,0,3.84
13,58506,20241200000000.0,279955,06/11/10,t,1.0,3.0,"['email', 'phone']",t,t,Mosman,,-33.81748,151.23484,4,1.0,1.0,3.0,$190.00,2,90,2,2,90,90,2.0,90.0,,t,1,10,14,256,08/12/24,425,27,0,4.62,4.71,4.34,4.89,4.92,4.76,4.72,f,1,1,0,0,2.5
14,934543,20241200000000.0,5041727,10/02/13,t,2.0,2.0,"['email', 'phone']",t,t,Manly,,-33.79261,151.27953,4,1.0,2.0,3.0,$200.00,3,21,3,3,21,21,3.0,21.0,,t,0,13,27,28,08/12/24,90,13,2,4.94,4.87,4.98,4.97,4.97,4.86,4.87,f,2,1,1,0,0.75
15,941603,20241200000000.0,5091457,15/02/13,t,1.0,1.0,"['email', 'phone']",t,t,Ryde,,-33.82926,151.10707,3,1.0,2.0,2.0,$185.00,2,1125,2,2,1125,1125,2.0,1125.0,,t,1,3,3,7,08/12/24,140,23,5,4.95,4.96,4.89,4.96,4.97,4.95,4.91,f,1,1,0,0,0.98
18,949950,20241200000000.0,2311627,07/05/12,t,1.0,1.0,"['email', 'phone']",t,t,Sydney,,-33.87629,151.22771,2,1.0,1.0,1.0,$202.00,3,1125,3,3,1125,1125,3.0,1125.0,,t,12,12,18,109,08/12/24,28,4,1,4.68,4.68,4.68,4.78,4.75,4.78,4.52,f,1,1,0,0,0.2
19,68999,20241200000000.0,333581,03/01/11,t,1.0,3.0,"['email', 'phone', 'work_email']",t,t,Hornsby,,-33.72966,151.05226,4,2.5,2.0,3.0,$115.00,1,30,1,1,30,30,1.0,30.0,,t,17,47,77,352,08/12/24,110,11,1,4.96,4.96,4.99,4.99,4.99,4.86,4.93,f,1,0,1,0,0.67
22,75702,20241200000000.0,402292,21/02/11,t,1.0,2.0,"['email', 'phone']",t,t,Randwick,,-33.96643,151.24885,2,1.0,1.0,2.0,$156.00,4,90,4,5,90,90,4.0,90.0,,t,4,4,8,78,08/12/24,344,16,0,4.94,4.96,4.97,4.99,4.98,4.92,4.92,f,1,1,0,0,2.06
25,104393,20241200000000.0,543277,28/04/11,t,3.0,9.0,"['email', 'phone']",t,t,Waverley,,-33.8886,151.27887,4,1.0,2.0,3.0,$295.00,7,365,7,7,365,365,7.0,365.0,,t,0,0,2,277,08/12/24,83,0,0,4.8,4.78,4.63,4.89,4.93,4.91,4.64,f,3,3,0,0,0.5
29,1018623,20241200000000.0,3775524,06/10/12,t,3.0,3.0,"['email', 'phone']",t,t,Sydney,,-33.87698447,151.22802791045012,4,2.0,2.0,2.0,$426.00,7,90,7,7,90,90,7.0,90.0,,t,21,51,81,356,08/12/24,61,3,0,4.8,4.88,4.6,4.9,4.92,4.83,4.62,f,1,1,0,0,0.44
33,1054789,20241200000000.0,5808874,07/04/13,t,3.0,3.0,"['email', 'phone']",t,t,Rockdale,,-33.93565,151.14542,1,1.0,1.0,0.0,$70.00,1,365,1,1,365,365,1.0,365.0,,t,6,31,60,149,08/12/24,86,86,2,4.86,4.8,4.84,4.86,4.92,4.88,4.8,f,3,0,3,0,10.24
38,153444,20241200000000.0,733574,22/06/11,t,3.0,3.0,"['email', 'phone', 'work_email']",t,t,Sydney,,-33.87249,151.22479,2,1.0,1.0,1.0,$189.00,5,1125,3,5,1125,1125,4.8,1125.0,,t,0,10,10,10,08/12/24,271,21,3,4.77,4.85,4.86,4.88,4.96,4.78,4.77,f,3,3,0,0,1.81
39,154958,20241200000000.0,745322,26/06/11,t,1.0,1.0,"['email', 'phone']",t,t,North Sydney,,-33.84612,151.22452,2,1.0,0.0,1.0,$230.00,3,365,3,3,365,365,3.0,365.0,,t,1,12,30,30,08/12/24,54,25,3,4.91,4.91,4.85,4.89,5.0,4.89,4.81,f,1,1,0,0,0.33
